title,company,location,source,scraped_at,description,job_url,search_query,role_category,employment_status
Mobile App Development Internship in Ahmedabad Mobile App Development Internship in Ahmedabad,,,linkedin,2026-04-11 11:34:43.999511+00:00,,https://www.linkedin.com/jobs/view/4393994306/,mobile developer intern,mobile,Intern
Flutter Devlopment Internship in Ahmedabad Flutter Devlopment Internship in Ahmedabad,,,linkedin,2026-04-11 11:34:54.108725+00:00,,https://www.linkedin.com/jobs/view/4397175826/,mobile developer intern,mobile,Intern
Mobile App Development Internship in Jaipur Mobile App Development Internship in Jaipur,,,linkedin,2026-04-11 11:35:42.432432+00:00,,https://www.linkedin.com/jobs/view/4399490698/,mobile developer intern,mobile,Intern
Android Developer Android Developer,,,linkedin,2026-04-11 11:36:55.675746+00:00,,https://www.linkedin.com/jobs/view/4396364057/,android developer,mobile,Full Time
Junior Software Engineer - AI Quality & Testing Junior Software Engineer - AI Quality & Testing,,,linkedin,2026-04-11 11:37:46.053201+00:00,,https://www.linkedin.com/jobs/view/4400503829/,android developer,mobile,Full Time
Android Developer Android Developer with verification,,,linkedin,2026-04-11 11:37:59.239094+00:00,,https://www.linkedin.com/jobs/view/4397221543/,android developer,mobile,Full Time
Summer Internship in Cyber Security Summer Internship in Cyber Security,,,linkedin,2026-04-11 11:39:15.443713+00:00,,https://www.linkedin.com/jobs/view/4390931844/,cybersecurity intern,security,Intern
Embedded Systems Trainee (Software/Hardware) Embedded Systems Trainee (Software/Hardware),,,linkedin,2026-04-11 11:39:27.238710+00:00,,https://www.linkedin.com/jobs/view/4398733699/,cybersecurity intern,security,Intern
Cyber Security - Intern Cyber Security - Intern,,,linkedin,2026-04-11 11:39:39.538565+00:00,,https://www.linkedin.com/jobs/view/4330243402/,cybersecurity intern,security,Intern
Field Security Technical Engineer Field Security Technical Engineer with verification,,,linkedin,2026-04-11 11:40:47.357419+00:00,,https://www.linkedin.com/jobs/view/4376445319/,security engineer,security,Full Time
Security Engineer 1 Security Engineer 1,,,linkedin,2026-04-11 11:40:57.512992+00:00,,https://www.linkedin.com/jobs/view/4382224378/,security engineer,security,Full Time
Infrastructure Security Engineer - Remote Infrastructure Security Engineer - Remote,,,linkedin,2026-04-11 11:41:08.333381+00:00,,https://www.linkedin.com/jobs/view/4395437660/,security engineer,security,Full Time
Software Testing Internship in Ahmedabad Software Testing Internship in Ahmedabad,,,linkedin,2026-04-11 11:42:21.361580+00:00,,https://www.linkedin.com/jobs/view/4389457130/,qa intern,qa,Intern
QA Intern QA Intern,,,linkedin,2026-04-11 11:42:33.734525+00:00,,https://www.linkedin.com/jobs/view/4394787171/,qa intern,qa,Intern
Data Analyst Trainee Data Analyst Trainee,,,linkedin,2026-04-11 11:42:45.935220+00:00,,https://www.linkedin.com/jobs/view/4398743606/,qa intern,qa,Intern
QA/QC Mechanical QA/QC Mechanical,,,linkedin,2026-04-11 11:43:55.979633+00:00,,https://www.linkedin.com/jobs/view/4393410752/,qa engineer,qa,Full Time
QA Tester QA Tester,,,linkedin,2026-04-11 11:44:05.700551+00:00,,https://www.linkedin.com/jobs/view/4388291591/,qa engineer,qa,Full Time
Quality Assurance Analyst Intern Quality Assurance Analyst Intern,,,linkedin,2026-04-11 11:44:19.200452+00:00,,https://www.linkedin.com/jobs/view/4380724533/,qa engineer,qa,Full Time
Business Analytics Internship in Ahmedabad Business Analytics Internship in Ahmedabad,,,linkedin,2026-04-11 11:45:32.415643+00:00,,https://www.linkedin.com/jobs/view/4389439792/,analytics intern,analytics,Intern
Data Analytics Internship in Mumbai Data Analytics Internship in Mumbai,,,linkedin,2026-04-11 11:45:42.653232+00:00,,https://www.linkedin.com/jobs/view/4398949729/,analytics intern,analytics,Intern
Data Analytics Internship in Delhi Data Analytics Internship in Delhi,,,linkedin,2026-04-11 11:45:53.955193+00:00,,https://www.linkedin.com/jobs/view/4393231761/,analytics intern,analytics,Intern
Staff Analytics Engineer Staff Analytics Engineer,,,linkedin,2026-04-11 11:46:53.043702+00:00,,https://www.linkedin.com/jobs/view/4397210996/,analytics engineer,analytics,Full Time
Junior Data Engineer Junior Data Engineer with verification,,,linkedin,2026-04-11 11:47:01.676229+00:00,,https://www.linkedin.com/jobs/view/4399041580/,analytics engineer,analytics,Full Time
Jr. Data Engineer Jr. Data Engineer,,,linkedin,2026-04-11 11:47:50.680372+00:00,,https://www.linkedin.com/jobs/view/4398119276/,analytics engineer,analytics,Full Time
AI Research Internship AI Research Internship,,,linkedin,2026-04-11 11:49:04.692412+00:00,,https://www.linkedin.com/jobs/view/4395405917/,research intern ai,research,Intern
AI/ML Product Development Internship (Remote) AI/ML Product Development Internship (Remote),,,linkedin,2026-04-11 11:49:16.956825+00:00,,https://www.linkedin.com/jobs/view/4380146055/,research intern ai,research,Intern
Data Science Internship Data Science Internship,,,linkedin,2026-04-11 11:50:07.539036+00:00,,https://www.linkedin.com/jobs/view/4382287181/,research intern ai,research,Intern
Research Analyst Research Analyst,,,linkedin,2026-04-11 11:51:14.453109+00:00,,https://www.linkedin.com/jobs/view/4399211217/,research engineer,research,Full Time
Production Chemist Production Chemist,,,linkedin,2026-04-11 11:51:25.152398+00:00,,https://www.linkedin.com/jobs/view/4399314446/,research engineer,research,Full Time
Graduate Engineer Trainee Graduate Engineer Trainee,,,linkedin,2026-04-11 11:51:34.798378+00:00,,https://www.linkedin.com/jobs/view/4400398553/,research engineer,research,Full Time
Software Engineering internship Software Engineering internship,,,linkedin,2026-04-11 11:52:36.322718+00:00,,https://www.linkedin.com/jobs/view/4395949869/,computer science intern,general_tech,Intern
Software Development Internship in Pune (Hybrid) Software Development Internship in Pune (Hybrid),,,linkedin,2026-04-11 11:52:47.298787+00:00,,https://www.linkedin.com/jobs/view/4393246245/,computer science intern,general_tech,Intern
Web Development Internship in Ahmedabad Web Development Internship in Ahmedabad,,,linkedin,2026-04-11 11:52:56.035008+00:00,,https://www.linkedin.com/jobs/view/4400330353/,computer science intern,general_tech,Intern
Associate Software QA Engineer Associate Software QA Engineer with verification,,,linkedin,2026-04-11 11:54:00.779972+00:00,,https://www.linkedin.com/jobs/view/4380589233/,associate software engineer,general_tech,Full Time
"Full Stack Developer Internship in Thane, Navi Mumbai Full Stack Developer Internship in Thane, Navi Mumbai",,,linkedin,2026-04-11 11:54:15.718275+00:00,,https://www.linkedin.com/jobs/view/4391965185/,associate software engineer,general_tech,Full Time
Software Engineer Intern Software Engineer Intern,,,linkedin,2026-04-11 11:55:02.074440+00:00,,https://www.linkedin.com/jobs/view/4395284757/,associate software engineer,general_tech,Full Time
