title,company,location,description,job_url,source,search_query,role_category,scraped_at
PhD Data Partner with verification,TELUS Digital,India (Remote),"Requirements

 Description and Requirements 

 Are you ready to use your domain knowledge to advance AI? Join us as a PhD Data Partner and work remotely with flexible hours. 

TELUS International AI Community

Our global AI Community is a vibrant network of 1 million+ contributors from diverse backgrounds who help our customers collect, enhance, train, translate, and localize content to build better AI models. Become part of our growing community and make an impact supporting the machine learning models of some of the world’s largest brands.

 Qualification Path: 

Basic Requirements

 A completed PhD in one of the following fields: 
 Law 
 Strong proficiency in English writing with excellent grammar, clarity, and the ability to explain complex concepts concisely 

Assessment

In order to be hired into the program, you’ll go through a subject-specific qualification exam that will determine your suitability for the position and complete ID verification.

Equal Opportunity

All qualified applicants will receive consideration for a contractual relationship without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status. At TELUS International AI, we are proud to offer equal opportunities and are committed to creating a diverse and inclusive community. All aspects of selection are based on applicants’ qualifications, merits, competence, and performance without regard to any characteristic related to diversity.

Additional Job Description

 Are you ready to use your domain knowledge to advance AI? Join us as a PhD Data Partner and work remotely with flexible hours. 

TELUS International AI Community

Our global AI Community is a vibrant network of 1 million+ contributors from diverse backgrounds who help our customers collect, enhance, train, translate, and localize content to build better AI models. Become part of our growing community and make an impact supporting the machine learning models of some of the world’s largest brands.

EEO Statement

At TELUS International, we enable customer experience innovation through spirited teamwork, agile thinking, and a caring culture that puts customers first. TELUS International is the global arm of TELUS Corporation, one of the largest telecommunications service providers in Canada. We deliver contact center and business process outsourcing (BPO) solutions to some of the world's largest corporations in the consumer electronics, finance, telecommunications and utilities sectors. With global call center delivery capabilities, our multi-shore, multi-language programs offer safe, secure infrastructure, value-based pricing, skills-based resources and exceptional customer service - all backed by TELUS, our multi-billion dollar telecommunications parent.

Equal Opportunity Employer

At TELUS International, we are proud to be an equal opportunity employer and are committed to creating a diverse and inclusive workplace. All aspects of employment, including the decision to hire and promote, are based on applicants’ qualifications, merits, competence and performance without regard to any characteristic related to diversity.",https://www.linkedin.com/jobs/view/4227263813/,linkedin,deep learning intern,ai_ml,2026-03-07 17:47:48.038150+00:00
Data Analyst Intern,Webs X UM,India (Remote),"Data Analyst Intern (Paid)
Company: Webs X UM
Location: Remote
Duration: 3 Months
Application Deadline: 10th March 2026
Stipend & Benefits:
Performance-based stipend up to ₹15,000
Certificate of Internship
Letter of Recommendation (based on performance)
Swags and goodies
Potential full-time role based on performance
Role Overview:
Work on real-world data analysis projects by collecting, cleaning, and analyzing datasets to generate meaningful insights and support decision-making.
Key Responsibilities:
Analyze data and identify trends
Create reports and dashboards
Develop data visualizations
Support data-driven recommendations
Eligibility:
Students or graduates in Data Science, Computer Science, Statistics, or related fields with strong analytical skills. Basic knowledge of Excel, SQL, or Python is preferred.",https://www.linkedin.com/jobs/view/4382603252/,linkedin,deep learning intern,ai_ml,2026-03-07 17:48:19.833426+00:00
Web Design Intern,UM IT Solutions,India (Remote),"Web Design Intern (Paid)
Company: UM IT Solutions
Location: Remote
Duration: 3 Months
Application Deadline: 10th March 2026
Opportunity: Full-time role based on performance + Internship Certificate
Stipend & Benefits:
₹15,000 (Performance-Based)
Certificate of Internship
Letter of Recommendation (based on performance)
Opportunity to build a strong design portfolio
Role Overview:
Design responsive and user-friendly websites while gaining hands-on experience in UI/UX and modern design tools.
Responsibilities:
Create web layouts, wireframes, and prototypes
Collaborate with developers to implement designs
Ensure responsive and mobile-friendly interfaces
Improve usability and performance
Eligibility:
Students or graduates in Web Design, Graphic Design, Computer Science, or related fields with basic knowledge of HTML, CSS, and design tools like Figma or Adobe XD.
Apply by submitting your resume and portfolio with the subject line “Web Design Intern Application – UM IT Solutions.”",https://www.linkedin.com/jobs/view/4382399472/,linkedin,deep learning intern,ai_ml,2026-03-07 17:48:26.696431+00:00
Sales Intern / Entry-Level Sales – Restaurant & Hospitality Tech,HorecaFox,India (Remote),"Job Description:

We’re looking for a Sales Intern / Entry-Level Sales Associate to join the HorecaFox team.

If you come from a Hotel Management / Hospitality background and enjoy interacting with restaurants, cafés, and hotels, this is a great opportunity to start a career in hospitality technology sales.

Role Involves:

• Calling restaurants, cafés, and hotels

• Introducing HorecaFox solutions

• Lead generation via calls, emails, and WhatsApp

• Scheduling demos for our sales team

Who should apply:

• Hotel Management students or graduates

• Freshers interested in hospitality tech

• Excellent communication in English & Hindi

Internship Details
• Duration: 3 months

• Location: Remote

• Compensation: Stipend + incentives based on performance

• Opportunity for full-time role after 3 months based on performance

About HorecaFox
HorecaFox is a cloud-based restaurant and hospitality management platform helping restaurants, cafés, bars, and hotels manage POS, inventory, and F&B operations more efficiently.",https://www.linkedin.com/jobs/view/4381378008/,linkedin,deep learning intern,ai_ml,2026-03-07 17:48:37.349438+00:00
Financial Analyst Internship,WebBoost Solutions by UM,India (Remote),"Job Title: Financial Analyst Intern
Company: WebBoost Solutions by UM
Location: Remote
Duration: 3 months (Unpaid)
Employment Opportunity: Full-time based on performance with Certificate of Internship
About WebBoost Solutions by UM:
WebBoost Solutions by UM provides students and graduates with hands-on experience and professional development in financial analytics, equipping them with the skills needed for a successful career.
Role Overview:
As a Financial Analyst Intern, you’ll work on real-world projects, analyzing financial data to support business decisions and strategies.
Responsibilities:
Collect, organize, and analyze financial data.
Develop reports and forecasts to assist in decision-making.
Build financial models and dashboards.
Research financial trends and industry benchmarks.
Use financial tools to improve processes and efficiency.
Requirements:
Enrolled in or graduate of a relevant program (e.g., finance, economics, accounting).
Strong analytical and problem-solving skills.
Familiarity with tools like Excel, financial modeling software, or databases.
Knowledge of finance principles and methods (preferred).
Excellent communication and teamwork skills.
Benefits:
Hands-on experience in financial analytics.
Certificate of Internship and Letter of Recommendation.
Opportunity to enhance your portfolio with practical projects.
How to Apply:
Submit your application by 10th March 2026.
WebBoost Solutions by UM is an equal opportunity employer, welcoming candidates from all backgrounds.",https://www.linkedin.com/jobs/view/4382602199/,linkedin,deep learning intern,ai_ml,2026-03-07 17:48:45.022479+00:00
Data Analyst Trainee,MedTourEasy Mumbai,India (Remote),"We are looking for Data Analytics trainees for our upcoming traineeship program.

Data Analytics Trainee Responsibilities:

Week 1 & 2: Training Modules – Candidates will be completing the learning modules assigned.
Week 3: Live Project – Candidates will be working on the live project assigned to them by the company.
Week 4: Project Report – Candidates will be preparing a project report and submit.

Data Analytics Trainee Requirements:

Bachelor’s degree or pursuing.
Proficiency with computers, especially MS Office.
High level of accountability and motivation.
Strong Interpersonal, time and project management, presentation, leadership, and communication skills.
Creativity and ability to delegate responsibilities.
Receptiveness to feedback and adaptability.
Willingness to meet deadlines.",https://www.linkedin.com/jobs/view/4381364929/,linkedin,nlp intern,ai_ml,2026-03-07 17:49:34.538452+00:00
Google Tag Manager Freelancer / Fresher,Perfect Pixel,"Coimbatore, Tamil Nadu, India (Remote)","Company Description
Perfect Pixel specialises in advanced digital analytics and conversion tracking to enhance online performance for businesses. With over a decade of experience, the company has completed 500+ successful full-stack implementations across industries. Their expertise includes Google Tag Manager (GTM), Google Analytics 4 (GA4) migrations and reporting, as well as Google Ads conversion tracking. Perfect Pixel is known for creating custom dashboards with Looker Studio and providing tailored solutions for e-commerce and marketing data optimisation. The company is committed to improving conversion rates and ROI through precise ad performance tracking and streamlined data management.

Role Description
This is a part-time remote role for a Google Tag Manager Freelancer/Fresher. The successful candidate will assist with implementing GTM setups, configuring tracking tags, and analysing marketing and web data. Day-to-day responsibilities include setting up event tracking, migrating Universal Analytics to GA4, evaluating data accuracy, and providing troubleshooting support. Additionally, the candidate will work with the team to improve GA4 reporting, e-commerce tracking, and DataLayer architecture to meet client needs.

Qualifications
Proficiency in Google Tag Manager (GTM) and GA4, including basic implementation and configuration
Basic knowledge of web analytics, e-commerce tracking, and event tracking
Understanding of digital marketing concepts, such as Google Ads, Meta Ads, and Bing Ads
Additional knowledge in Looker Studio, Google Business Profile, or DataLayer architecture is a plus",https://www.linkedin.com/jobs/view/4381384023/,linkedin,nlp intern,ai_ml,2026-03-07 17:49:44.667679+00:00
Data Science Intern,WEBBOOST SOLUTION IT SERVICES,India (Remote),"Data Science Intern (Paid)
Company: WEBBOOST SOLUTION IT SERVICES
Location: Remote
Duration: 3 Months
Application Deadline: 10th March 2026
Stipend & Benefits:
Performance-based stipend up to ₹15,000
Internship Certificate
Letter of Recommendation (based on performance)
Swags and goodies
Potential full-time role based on performance
Role Overview:
Work on real-world data science projects, analyze datasets, perform exploratory data analysis, and build predictive models to deliver data-driven insights.
Eligibility:
Students or graduates in Data Science, Computer Science, Statistics, or related fields with knowledge of Python or R. Familiarity with machine learning libraries and visualization tools is preferred.",https://www.linkedin.com/jobs/view/4382389840/,linkedin,nlp intern,ai_ml,2026-03-07 17:50:16.176810+00:00
Sports Analyst Internship,SportsBUZZ,India (Remote),"Sports Analyst Intern (Remote)
Company: SportsBuzz
Duration: 3 Months
Stipend & Benefits:
Performance-based stipend ₹15,000
Certificate of Internship
Letter of Recommendation (based on performance)
Swags and goodies
Potential full-time role based on performance
About the Role:
Work at the intersection of sports and data. Analyze match statistics, player performance, and game trends to generate insights that support content and strategy.
Key Responsibilities:
Collect and organize sports data including scores and player statistics
Analyze team and player performance to identify trends and KPIs
Prepare match previews and post-match reports
Build dashboards for data visualization
Support content strategy using sports and fan engagement data
Eligibility:
Students or graduates in Sports Management, Data Science, Statistics, Mathematics, or related fields
Strong analytical and data interpretation skills
Knowledge of Excel, Google Sheets, Tableau, or Power BI
Python or R is an advantage
Good understanding of sports like Cricket and Football
Strong communication and teamwork skills",https://www.linkedin.com/jobs/view/4382398435/,linkedin,nlp intern,ai_ml,2026-03-07 17:50:25.281213+00:00
Podcast And Founder’s Office Intern,GoldenBRX,"Delhi, India (On-site)","Company Description
 
We suggest you enter details here.

 Role Description
 
This is an internship role for a Podcast and Founder’s Office Intern. As part of this role, the intern will support podcast production, research, and coordination for episodes, assisting with content creation, editing, and publishing processes. Additionally, they will provide administrative and logistical support to the Founder’s Office, aiding in scheduling, communication, and strategic projects. The role also involves assisting in event preparation and idea brainstorming sessions. This is an on-site role located in Delhi, India.

 Qualifications
 
Strong skills in Content Creation, Writing, and Research
Organizational and Administrative capabilities
Basic understanding of Podcast Production and Editing
Effective communication skills and ability to collaborate in a team
Strong attention to detail and creative problem-solving mindset
Proficiency in tools like MS Office and audio/video editing software is a plus",https://www.linkedin.com/jobs/view/4381368671/,linkedin,nlp intern,ai_ml,2026-03-07 17:50:56.088952+00:00
Data Science Intern,NEO SKILLZ,India (Remote),"Company: NeoSkillz
Location: Remote / India
Duration: 6 Months
Stipend: Up to ₹10,000 per month (performance-based)
Start Date: Immediate 

About NeoSkillz
NeoSkillz is a skills-focused learning and career development platform that helps students and early professionals gain practical industry exposure through internships, projects, and mentorship in emerging technology domains.
Role Overview
We are looking for motivated Data Science Interns who are interested in applying analytical and machine learning techniques to real-world datasets. Interns will work on guided projects and collaborate with mentors to build practical data science skills.
Key Responsibilities
Assist in collecting, cleaning, and analyzing datasets
Work with Python libraries such as Pandas, NumPy, and Scikit-learn
Support development of basic machine learning models
Create data visualizations and insights reports
Collaborate with the team on small data-driven projects
Skills Required
Basic knowledge of Python for data analysis
Understanding of statistics and data visualization
Familiarity with libraries like Pandas, NumPy, or Matplotlib (preferred)
Interest in machine learning and analytics
Good problem-solving and communication skills
Eligibility
Students or recent graduates in Computer Science, Data Science, Statistics, Mathematics, or related fields
Basic programming knowledge is required
Candidates eager to learn and work on real datasets are encouraged to apply
What You Will Gain
Hands-on experience with data science workflows
Mentorship from experienced professionals
Opportunity to work on portfolio-ready projects
Internship completion certificate
High-performing interns may be considered for a full-time opportunity (PPO) based on performance and business requirements",https://www.linkedin.com/jobs/view/4381216343/,linkedin,computer vision intern,ai_ml,2026-03-07 17:51:47.191505+00:00
Hardware Engineer Intern with verification,IBM,"Bengaluru, Karnataka, India (Hybrid)","Introduction

IBM Systems division builds Servers, Storage and Systems Software which are the building blocks for

next-generation IT infrastructure of enterprise customers and data centers. IBM Servers provide best-

in-class reliability, scalability, performance, and end-to-end security to handle mission-critical

workloads and provide seamless extension to hybrid multi cloud environments.

India Systems Development Lab (ISDL) is part of word-wide IBM Systems division. Established in

1996, the ISDL Lab is headquartered in Bengaluru, with presence in Pune and Hyderabad as well.

ISDL teams work across the IBM Systems stack including Processor development, Firmware,

Operating Systems, Systems Software, Storage Software, Cloud Software, Performance Engineering,

System Test etc. The ISDL teams also ushered in new development models such as Agile, Design

Thinking and DevOps.

Enterprise Systems development Lab – part of ISDL, has Internship & Job opportunities in the

Design & Development of Processors for IBM Mainframe & Power systems.

If you have a degree in VLSI design or electronics and looking for building a career in hardware

aspects of the processor development, have skills / interested in the Processor core development,

Logic Design, Analog circuits, Physical Design, Custom layout, Memory & Library characterization.

Computer Science graduates interested in the design and development of algorithms to verify /

validate and debug the processor Architecture & Performance

Your Role And Responsibilities

IBM Systems development lab works on the development of

latest generation processors that power the IBM Z Systems

(Mainframe) & IBM Power Systems.

The Enterprise Systems Development team in Bangalore is a

microcosm of the global Systems development lab. As a

member of the ESD team you will have an opportunity to work

on the Design/ Verification/ Pre Silicon Validation / Physical

design/ EDA / Library/ Memory characterization/ Post silicon

validation of the Processor chip that is being developed in the

latest technologies of 5nm , 3nm & Beyond.

Required Technical And Professional Expertise

Skills required

 Digital Logic design, Computer Architecture, RISC V

or other processor pipeline knowledge, VLSI design

flow and process knowledge, Good understanding of

Preferred Technical And Professional Experience

Good programming and scripting ( Python/ Perl) skills

are highly desired

Academics

Master’s Degree in VLSI design / Electronics / Computer Science engineering or other relevant

specializations in Hardware.",https://www.linkedin.com/jobs/view/4363005011/,linkedin,computer vision intern,ai_ml,2026-03-07 17:51:55.857917+00:00
